0;0;0;0;x;x
1;156;80;193;b_qatanqor;x
2;128;30;177;b_khiaban;x
3;98;31;131;b_marbachcheh;x
4;39;238;80;b_maste_bala;x
5;65;205;95;b_jombed;x
6;92;46;225;b_haft_dashte_bala;x
7;237;1;140;b_sheykh_khvajeh;x
8;194;52;136;b_gorgi_dar;x
9;237;144;35;b_kermalak;x
10;226;169;103;b_omidabade_hirgan;x
11;246;151;39;b_jarmosht;x
12;216;140;51;b_siahkulian;x
13;218;88;165;b_nowli_bolagh;x
14;250;94;100;b_sarabe_sar_firuzabad;x
15;177;58;62;b_pellehkane_bala;x
16;219;32;39;b_basteh_deym;x
17;16;0;93;b_borzelane_sofla;x
18;35;20;107;b_gholam_rostam;x
19;171;95;215;b_seliran;x
20;176;70;236;b_khasraj_khalaf;x
21;20;136;69;b_darabak;x
22;25;20;19;b_khiarshure_olya;x
23;31;27;26;b_naidar;x
24;20;198;96;b_dehe_shahverdiye_olya;x
25;166;110;219;b_sulujeh;x
26;66;243;235;b_seryal;x
27;60;213;206;b_baltagh;x
28;20;209;201;b_qum_qaleh;x
29;28;187;180;b_shahr_jerd;x
30;108;108;76;b_bai_kola;x
31;115;114;38;b_firuzabad;x
32;212;119;7;b_kalbia_haj_gholam_hoseyn;x
33;229;132;16;b_eslamabade_jonubi;x
34;245;143;21;Great Northern Tunnels;x
35;240;168;83;b_dastake_sofla;x
36;248;148;29;b_masjed_pish;x
37;214;93;30;b_mir_heydar;x
38;196;146;121;b_seyyed_naser;x
39;161;94;58;b_galuyok;x
40;52;54;147;b_halah;x
41;103;10;65;b_tasiyeh;x
42;218;86;164;b_shif_nowkale_nakhli;x
43;30;34;214;b_tatehye_rashid;x
44;56;61;96;b_ratuke_bala;x
45;219;29;142;b_kabud_kalayeh;x
46;243;61;169;b_bumehen;x
47;67;125;193;b_misuleh;x
48;253;42;167;b_temenuiyeh;x
49;40;82;130;b_dowlatabad;x
50;172;212;115;b_sartang_dehgah;x
51;171;219;100;b_takhtgahe_daniali;x
52;143;194;70;Morchyach Peninsula;x
53;35;209;11;b_lalu;x
54;239;203;219;b_khvorush_sara;x
55;194;157;173;b_qoli;x
56;198;113;151;b_shavil;x
57;174;142;156;b_parpar;x
58;210;132;166;b_omm_ol_ejaj;x
59;62;212;42;b_hosein_abad_jabalbarez;x
60;23;189;0;b_asheh;x
61;76;255;53;b_bir;x
62;75;236;53;b_bagh_malek;x
63;188;34;0;b_vinisibon;x
64;151;57;36;b_ganjeh_nav;x
65;85;88;119;b_qasemabad;x
66;35;23;170;b_kalatehye_asad_khan;x
67;45;27;255;b_qelich_abdale_davaji;x
68;161;134;190;b_jahangir;x
69;169;102;242;b_jolgehye_khalaje_bala;x
70;32;25;25;b_tondok;x
71;32;86;151;b_chupanlar_sardarlu;x
72;108;163;53;b_sagvand;x
73;238;228;19;b_kerane_pain;x
74;207;199;31;b_gurak_sadat;x
75;48;23;166;b_isli_bulaq;x
76;15;4;69;b_maen;x
77;131;222;40;b_qishlaq;x
78;209;199;11;b_deh_shur;x
79;178;71;75;b_kisheh_khaleh;x
80;199;191;34;b_churchuriye_sofla;x
81;61;142;89;b_nanize_pain;x
82;43;145;78;b_same_nurabad;x
83;150;58;62;b_qeshlaqe_khalifehlu;x
84;78;31;111;b_barmabad;x
85;162;61;237;b_kaslan_fih;x
86;191;211;31;b_shurabe_olya;x
87;23;90;46;b_jahadabad;x
88;182;57;61;b_dehanehitag;x
89;96;103;173;b_kas;x
90;91;14;14;b_cheshmeh_kabude_chenar;x
91;10;177;22;b_jadir;x
92;134;139;184;b_ghareh_aghaj;x
93;48;235;61;b_qarah_bagh;x
94;9;229;25;b_qalehye_zaboli;x
95;214;69;38;Great Silt Flat;x
96;143;40;42;b_malmulaye_pain;x
97;255;79;83;b_namch;x
98;218;45;49;b_lirkak;x
99;12;100;92;b_chuqrub;x
100;55;176;165;b_shamsabad;x
101;57;114;108;b_serv;x
102;83;88;132;b_beg_kandi;x
103;87;26;83;b_tappehye_mowla;x
104;42;45;189;b_fang;x
105;46;49;146;b_pasha_beyg;x
106;34;86;151;b_kadamga;x
107;98;155;223;b_parchehye_pain;x
108;56;60;98;b_afzalabad;x
109;96;57;18;b_lahu;x
110;48;6;46;b_bezar_pain;x
111;52;17;50;b_kalatehye_ali_siah;x
112;226;153;66;b_qarah_buteh;x
113;103;106;133;b_golam_kabude_sofla;x
114;234;234;42;b_yusofabad;x
115;164;164;37;b_bab_abdan;x
116;105;56;16;b_bi_bi_shirvan;x
117;76;49;26;b_deh_bozorge_bala;x
118;27;243;120;b_palkane_alain;x
119;26;180;92;b_khasne_aliabad;x
120;2;200;87;b_durub;x
121;5;88;38;b_nafar_kheyl;x
122;134;58;191;b_nowbonyad;x
123;96;20;153;b_gujak;x
124;43;39;39;b_pansareh;x
125;51;38;38;b_shur_bulaq;x
126;25;18;18;b_lagharan;x
127;55;48;48;b_dust_ali;x
128;69;55;55;b_shahabade_khavar;x
129;225;100;40;b_husainabad;x
130;224;112;58;b_salasiye_kohneh;x
131;145;76;43;b_meyangaran_sofla;x
132;105;16;16;b_godare_anjir;x
133;249;40;40;b_khairabad;x
134;174;22;22;b_katu;x
135;201;135;58;b_koortal;x
136;31;174;190;b_khaftsanduk;x
137;53;198;215;b_divalan;x
138;43;233;255;b_kuhestane_mashayekh;x
139;99;93;211;b_kelengi;x
140;102;95;218;b_tamtaman;x
141;49;63;203;b_sarjatapah;x
142;44;207;113;b_gole_zarde_veysi;x
143;50;232;128;b_qaleh_khar_kishe;x
144;37;166;92;b_serenjeh;x
145;20;88;38;b_malekabad;x
146;162;66;167;b_chulhule_vasati;x
147;189;140;191;b_rikhake_bala;x
148;141;39;146;b_dastja;x
149;208;132;212;b_sarangabad;x
150;164;90;168;b_khezr_beyg;x
151;61;64;191;b_abu_hamizeh;x
152;104;106;228;b_chasht;x
153;7;11;225;b_sungun;x
154;79;81;170;b_khiya;x
155;75;78;235;b_ahmadiyeh;x
156;55;59;233;b_pulagi;x
157;29;32;198;b_turudbar;x
158;94;34;129;b_dizag;x
159;151;71;197;b_chulaki;x
160;19;117;42;b_djeshweremet;x
161;57;116;71;b_amtys;x
162;143;36;223;b_sakhth;x
163;126;57;177;b_djahy;x
164;64;56;165;b_simel;x
165;24;19;83;Kesvatavi;x
166;16;9;96;b_sekhtmaat;x
167;52;67;67;b_apedemak;x
168;122;91;13;b_aksebniwt;x
169;167;162;64;b_anuw_djeret;x
170;128;121;19;b_anuw_anki;x
171;52;28;149;b_ghamantkhare;x
172;190;28;81;b_matnekhet;x
173;212;66;113;b_hameterrayan;x
174;194;72;111;b_beshham;x
175;166;62;96;b_hem;x
176;232;15;85;b_anuw_hamaat;x
177;126;62;173;b_imenteresh;x
178;18;128;65;b_geraamkhesh;x
179;33;114;67;b_thorekhret;x
180;95;141;197;b_sharat;x
181;33;92;162;b_eserhateb;x
182;103;247;13;b_amenakhre;x
183;96;214;23;b_djeamenakhre;x
184;77;180;178;b_esmerhatheb;x
185;209;88;41;b_tayet;x
186;77;28;9;b_khamtdjabi;x
187;122;59;34;b_amunshurak;x
188;99;104;44;b_ashabetheref;x
189;63;104;44;b_ahekesh;x
190;161;156;77;b_djekemet;x
191;223;210;28;b_ahmosteret;x
192;161;142;77;b_gesekamandi;x
193;75;104;44;b_berektesh;x
194;117;77;161;b_awuwaysh;x
195;145;103;66;b_khetmadjet;x
196;67;86;16;b_wadjheb;x
197;89;116;19;b_tiwu_anaan;x
198;102;100;48;b_antakhet;x
199;27;193;108;b_wayan;x
200;30;239;132;b_hektet;x
201;9;34;77;b_kasheretheref;x
202;24;61;126;b_saphayam;x
203;66;118;209;b_akhsaphniwt;x
204;28;154;223;b_khetrehkhash;x
205;104;44;102;b_anuw_kerek;x
206;137;88;26;b_nekhti;x
207;120;77;22;b_hutsrdurem;x
208;201;125;28;b_neheramt;x
209;174;150;49;b_ashfarakh;x
210;201;166;19;b_epesh;x
211;219;92;26;b_nezerakhkheresh;x
212;193;63;27;b_nezerakhniwt;x
213;46;21;86;b_asamaankare;x
214;58;34;96;b_petemysehtep;x
215;188;18;18;b_esaamheresh;x
216;169;19;19;b_giyesharaam;x
217;213;0;0;b_pakhet;x
218;0;148;165;b_ahhneshtereb;x
219;208;65;65;b_susenereset;x
220;85;80;162;b_anuw_nepeheth;x
221;175;42;218;b_kaduwan;x
222;147;30;185;b_hephektet;x
223;18;26;98;b_niwtkhaperethakh;x
224;47;55;131;b_wafresmet;x
225;47;59;180;b_hotepjet;x
226;56;131;47;b_hedjetniwtwadj;x
227;37;148;24;b_khatamwadj;x
228;45;180;182;b_khamenakaure;x
229;201;24;24;b_tethet;x
230;63;29;147;b_iyumhirek;x
231;114;147;29;b_mpeksheth;x
232;67;187;244;b_assahef;x
233;53;10;90;b_epekhherem;x
234;53;155;125;b_pjet;x
235;35;210;159;b_assuwa;x
236;10;64;90;b_bhekkari;x
237;126;122;26;b_heremeb;x
238;86;83;6;b_djastabhet;x
239;152;43;46;b_djamaadet;x
240;217;101;44;b_kehiamarna;x
241;24;82;74;b_beshtplestet;x
242;19;116;103;b_sherekh;x
243;163;50;120;b_smeranna;x
244;155;19;103;b_beshetereb;x
245;86;68;116;b_nshwyshoreb;x
246;74;38;133;b_ekhmereb;x
247;144;70;34;b_mereshpektet;x
248;163;36;111;b_khemeneferheref;x
249;188;65;138;b_hebetjeresh;x
250;109;14;69;b_hamtheteresh;x
251;173;52;122;b_amwywesh;x
252;162;28;50;b_sarathuesh;x
253;170;13;106;b_sarathusret;x
254;170;9;104;b_smwanti;x
255;110;17;72;b_estepekesh;x
256;219;41;71;b_ahtepsrdjadys;x
257;180;45;124;b_nereshgirem;x
258;22;74;137;b_hmwet;x
259;53;112;184;b_rmefr_djaan;x
260;26;176;150;b_antiywanuwan;x
261;12;68;69;b_sremenkhant;x
262;42;31;140;b_kemsarnys;x
263;89;83;145;b_akhmetobheb;x
264;149;12;119;b_khmeretanuwan;x
265;54;135;48;b_baheteb;x
266;133;97;61;b_adjeretheref;x
267;107;35;53;b_ptamra;x
268;40;158;188;b_pesederab;x
269;31;118;140;b_hedredjet;x
270;65;176;26;b_makhtebheref;x
271;47;116;23;b_hiwakheteresh;x
272;44;98;26;b_khetmarekh;x
273;131;38;12;b_rakhthonet;x
274;131;149;51;b_esemenkhet;x
